City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,The Pas,CA,53.8251,-101.2541,69.82,56,1,5.46,clear sky
173,Elko,US,41.0002,-115.5012,68.02,78,100,7.0,overcast clouds
174,Vardo,NO,70.3705,31.1107,47.68,93,100,16.84,light rain
175,Kutum,SD,14.2,24.6667,72.03,69,47,8.46,scattered clouds
176,Gat,IL,31.61,34.7642,77.4,72,0,0.87,clear sky
177,Broken Hill,AU,-31.95,141.4333,69.51,35,75,14.97,broken clouds
178,Itarema,BR,-2.9248,-39.9167,78.44,80,100,14.81,overcast clouds
179,Lasa,IT,46.6166,10.7002,61.36,91,86,2.39,overcast clouds
180,Kaeo,NZ,-35.1,173.7833,62.33,80,100,17.69,overcast clouds
181,Tahe,CN,52.3333,124.7333,51.42,99,100,4.54,light rain
182,Namibe,AO,-15.1961,12.1522,68.79,66,18,5.99,few clouds
183,Koumac,NC,-20.5667,164.2833,70.66,51,5,18.39,clear sky
184,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,94,90,5.75,overcast clouds
185,Shizunai,JP,42.3339,142.3669,76.87,80,8,8.9,clear sky
186,Kombissiri,BF,12.0656,-1.3375,71.58,75,99,6.4,overcast clouds
187,Hyderabad,IN,17.3753,78.4744,76.51,85,75,6.91,mist
188,Denpasar,ID,-8.65,115.2167,83.86,74,40,16.11,scattered clouds
189,Hofn,IS,64.2539,-15.2082,47.71,87,18,7.67,few clouds
190,Pacific Grove,US,36.6177,-121.9166,66.16,89,90,5.01,overcast clouds
191,Naze,JP,28.3667,129.4833,83.32,75,90,4.43,light rain
192,Talnakh,RU,69.4865,88.3972,65.41,66,93,8.79,overcast clouds
193,Rathdrum,US,47.8137,-116.892,91.69,34,1,0.0,clear sky
194,Touros,BR,-5.1989,-35.4608,76.1,90,65,11.99,broken clouds
195,Santa Fe,AR,-31.6333,-60.7,48.0,61,0,4.0,clear sky
196,Praia,CV,14.9215,-23.5087,75.74,83,75,10.36,broken clouds
197,Dikson,RU,73.5069,80.5464,41.92,99,100,6.29,overcast clouds
198,Trinidad,BO,-14.8333,-64.9,57.43,45,0,3.89,clear sky
199,Tiznit,MA,29.5833,-9.5,77.81,43,1,1.01,clear sky
200,Bardiyah,LY,31.7561,25.0865,78.44,84,0,16.53,clear sky
201,Bilibino,RU,68.0546,166.4372,42.3,56,100,9.08,overcast clouds
202,Yabassi,CM,4.457,9.9682,74.84,99,87,0.72,overcast clouds
203,Brae,GB,60.3964,-1.353,49.91,83,100,12.88,overcast clouds
204,Alofi,NU,-19.0595,-169.9187,80.49,78,42,13.8,scattered clouds
205,Katangli,RU,51.7102,143.2326,56.86,79,98,10.76,overcast clouds
206,Oktyabrskiy,RU,54.4815,53.471,67.51,86,100,5.03,overcast clouds
207,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,0,9.22,clear sky
208,Tocopilla,CL,-22.092,-70.1979,59.4,78,17,2.15,few clouds
209,Khani,GE,41.9563,42.9566,63.97,77,13,0.29,few clouds
210,Severo-Kurilsk,RU,50.6789,156.125,53.85,96,100,10.78,overcast clouds
211,Isla Mujeres,MX,21.2311,-86.731,84.16,81,48,9.91,scattered clouds
212,Coahuayana,MX,18.7333,-103.6833,78.15,93,100,3.06,overcast clouds
213,Ibanda,TZ,-2.7974,32.4746,63.07,54,34,11.41,scattered clouds
214,Shasta Lake,US,40.6804,-122.3708,92.08,34,88,5.79,overcast clouds
215,Tilichiki,RU,60.4667,166.1,58.69,44,7,9.64,clear sky
216,Jieshi,CN,22.8134,115.8257,86.95,74,72,14.36,broken clouds
217,Vestmannaeyjar,IS,63.4427,-20.2734,54.36,93,47,4.07,scattered clouds
218,Baoshan,CN,46.5586,131.4244,84.43,65,97,5.73,overcast clouds
219,Inta,RU,66.0317,60.1659,53.17,65,23,7.74,few clouds
220,Nikolskoye,RU,59.7035,30.7861,60.4,85,100,11.61,overcast clouds
221,Suluq,LY,31.6682,20.2521,79.68,59,0,11.79,clear sky
222,Darnah,LY,32.767,22.6367,82.67,55,0,17.05,clear sky
223,Arraial Do Cabo,BR,-22.9661,-42.0278,64.17,63,84,14.9,broken clouds
224,Mendi,PG,-6.1761,143.6513,61.38,94,100,3.02,overcast clouds
225,Atuona,PF,-9.8,-139.0333,77.31,75,33,14.61,scattered clouds
226,Afrikanda,RU,67.4429,32.7828,49.93,100,100,5.21,overcast clouds
227,Shar,KZ,49.5886,81.0453,73.74,24,0,9.01,clear sky
228,Lompoc,US,34.6391,-120.4579,65.79,86,90,4.61,overcast clouds
229,Okha,RU,53.5739,142.9478,57.29,65,100,11.95,overcast clouds
230,Vazante,BR,-17.9869,-46.9078,59.61,28,10,2.62,clear sky
231,Biak,ID,-0.9131,122.8766,82.09,74,40,5.23,scattered clouds
232,Plettenberg Bay,ZA,-34.0527,23.3716,56.39,61,0,3.89,clear sky
233,Vao,NC,-22.6667,167.4833,67.53,55,3,25.12,clear sky
234,Mandiana,GN,10.6333,-8.6833,70.81,97,100,6.33,overcast clouds
235,Presidente Medici,BR,-11.1753,-61.9014,63.46,47,0,4.03,clear sky
236,Shurugwi,ZW,-19.6702,30.0059,39.63,88,0,3.87,clear sky
237,Hornepayne,CA,49.2138,-84.7705,52.12,92,100,5.64,overcast clouds
238,Bengkulu,ID,-3.8004,102.2655,84.97,65,1,8.01,clear sky
239,Sabang,ID,5.8933,95.3214,82.26,75,100,23.17,overcast clouds
240,Obsharovka,RU,53.125,48.8531,73.13,74,88,9.62,moderate rain
241,Inirida,CO,3.8653,-67.9239,71.69,98,86,2.35,overcast clouds
242,Svetlogorsk,BY,52.6333,29.7333,64.53,77,52,5.21,broken clouds
243,La Ciotat,FR,43.1748,5.6045,73.81,88,0,4.23,clear sky
244,Carnarvon,AU,-24.8667,113.6333,64.47,52,40,14.97,scattered clouds
245,Saint George,US,37.1041,-113.5841,85.39,46,1,1.99,clear sky
246,Port-Gentil,GA,-0.7193,8.7815,75.34,79,60,12.97,broken clouds
247,Sivas,TR,39.7916,37.0019,56.59,85,7,3.02,clear sky
248,Palmer,US,42.1584,-72.3287,63.32,72,1,6.91,clear sky
249,Christchurch,NZ,-43.5333,172.6333,55.47,80,90,4.0,overcast clouds
250,Najran,SA,17.4924,44.1277,86.65,37,95,7.0,overcast clouds
251,Pisco,PE,-13.7,-76.2167,62.65,82,90,9.22,overcast clouds
252,Lata,PT,40.1629,-8.3327,60.04,86,88,6.4,overcast clouds
253,Kangaatsiaq,GL,68.3065,-53.4641,42.69,87,9,5.79,clear sky
254,Lavrentiya,RU,65.5833,-171.0,43.92,97,100,5.46,light rain
255,Oistins,BB,13.0667,-59.5333,80.69,78,20,17.27,few clouds
256,Ewa Beach,US,21.3156,-158.0072,83.57,68,1,16.11,clear sky
257,Avarua,CK,-21.2078,-159.775,75.25,69,75,13.8,broken clouds
258,Oranjestad,AW,12.524,-70.027,82.35,78,20,17.27,few clouds
259,Kormilovka,RU,55.0026,74.1028,65.95,92,100,12.84,light rain
260,Sayat,TM,38.7839,63.8803,76.87,20,52,20.22,broken clouds
261,Hamilton,US,39.1834,-84.5333,72.37,76,1,0.0,clear sky
262,Kantang,TH,7.4054,99.5156,86.09,79,40,5.75,scattered clouds
263,Solnechnyy,RU,50.7214,136.6319,59.95,76,100,9.1,overcast clouds
264,Shu,KZ,43.5983,73.7614,86.05,20,0,10.11,clear sky
265,Nizhniy Kuranakh,RU,58.8353,125.4869,66.79,40,0,14.14,clear sky
266,Juneau,US,58.3019,-134.4197,73.45,74,76,4.97,broken clouds
